"MPIO_CDPMP","discap4t5","disbog4t5","el_4t5n","em_4t5n","cs_4t5n","cw_4t5n","el_4t5d","em_4t5d","cs_4t5d","cw_4t5d","pct_4t5x","el_4t5x","em_4t5x","cs_4t5x","cw_4t5x","el_4t5xs","em_4t5xs","cs_4t5xs","cw_4t5xs","FID_4t5"
"05138",76.8568649291992,341.110229492188,0.375,0,0,0.6,0.375,0,0,0.6,0.268411086668126,0.100654157500547,0.650382543952036,0.731588913331874,0.161046652000875,0.268411066042546,0.731588933957454,0.731588933957454,0.268411066042546,348
"05142",99.3229217529297,224.662170410156,0.375,0,0,0.6,0.375,0,0,0.6,0.17678102876827,0.0662928857881013,0.731841665425008,0.82321897123173,0.106068617260962,0.176781015183842,0.823218984816158,0.823218984816158,0.176781015183842,347
"05145",81.2732620239258,203.388473510742,0.375,0,0,0.6,0.375,0,0,0.6,0.160041290089894,0.0600154837837104,0.746723293110084,0.839958709910106,0.0960247740539366,0.160041277791802,0.839958722208198,0.839958722208198,0.160041277791802,346
"05147",204.099182128906,468.302734375,0.375,0,0,0.6,0.375,0,0,0.6,0.368495679564858,0.138185879836822,0.561407340866841,0.631504320435142,0.221097407738915,0.368495651248453,0.631504348751547,0.631504348751547,0.368495651248453,345
"05148",49.756965637207,216.316162109375,0.375,0,0,0.6,0.375,0,0,0.6,0.170213764102274,0.0638301615383528,0.737679963713078,0.829786235897726,0.102128258461364,0.170213751022495,0.829786248977505,0.829786248977505,0.170213751022495,344
"05150",65.4245986938477,289.920043945312,0.375,0,0,0.6,0.375,0,0,0.6,0.228130813192204,0.0855490549470765,0.686191707072131,0.771869186807796,0.136878487915322,0.228130795661891,0.771869204338109,0.771869204338109,0.228130795661891,343
"05154",183.31477355957,386.896301269531,0.375,0,0,0.6,0.375,0,0,0.6,0.304438998520306,0.114164624445115,0.618353730315448,0.695561001479694,0.182663399112184,0.304438975126225,0.695561024873775,0.695561024873775,0.304438975126225,342
"05172",189.13493347168,453.472930908203,0.375,0,0,0.6,0.375,0,0,0.6,0.35682647905591,0.133809929645966,0.571781260119296,0.64317352094409,0.214095887433546,0.356826451636204,0.643173548363796,0.643173548363796,0.356826451636204,341
"05190",70.4318695068359,258.074188232422,0.375,0,0,0.6,0.375,0,0,0.6,0.203072107827377,0.0761520404352663,0.708468896141462,0.796927892172623,0.121843264696426,0.203072092222656,0.796927907777344,0.796927907777344,0.203072092222656,340
"05197",61.403377532959,209.783462524414,0.375,0,0,0.6,0.375,0,0,0.6,0.165073346598272,0.061902504974352,0.742249794874136,0.834926653401728,0.0990440079589632,0.1650733339135,0.8349266660865,0.8349266660865,0.1650733339135,339
"05206",49.681022644043,248.611541748047,0.375,0,0,0.6,0.375,0,0,0.6,0.195626188573039,0.0733598207148897,0.715088318358568,0.804373811426961,0.117375713143824,0.195626173540487,0.804373826459513,0.804373826459513,0.195626173540487,338
"05209",37.5523910522461,264.446502685547,0.375,0,0,0.6,0.375,0,0,0.6,0.208086322292597,0.0780323708597239,0.704011259481881,0.791913677707403,0.124851793375558,0.208086306302568,0.791913693697432,0.791913693697432,0.208086306302568,337
"05212",18.3358554840088,263.155395507812,0.375,0,0,0.6,0.375,0,0,0.6,0.207070382427362,0.0776513934102606,0.704914430022076,0.792929617572638,0.124242229456417,0.207070366515401,0.792929633484599,0.792929633484599,0.207070366515401,336
"05234",112.312507629395,376.300994873047,0.375,0,0,0.6,0.375,0,0,0.6,0.296101817581183,0.111038181592944,0.625765484170328,0.703898182418817,0.17766109054871,0.296101794827758,0.703898205172242,0.703898205172242,0.296101794827758,398
"05237",41.3086013793945,269.421508789062,0.375,0,0,0.6,0.375,0,0,0.6,0.212001029853297,0.0795003861949864,0.700531084460419,0.787998970146703,0.127200617911978,0.212001013562449,0.787998986437551,0.787998986437551,0.212001013562449,335
"05240",14.7454261779785,277.043212890625,0.375,0,0,0.6,0.375,0,0,0.6,0.217998357705965,0.0817493841397367,0.695199459999398,0.782001642294035,0.130799014623579,0.217998340954262,0.782001659045738,0.782001659045737,0.217998340954262,334
"05250",179.382171630859,360.169769287109,0.375,0,0,0.6,0.375,0,0,0.6,0.283408560638242,0.106278210239341,0.637049789592603,0.716591439361758,0.170045136382945,0.283408538860207,0.716591461139793,0.716591461139793,0.283408538860207,333
"05264",35.809741973877,285.947723388672,0.375,0,0,0.6,0.375,0,0,0.6,0.225005093747234,0.0843769101552126,0.688970471658709,0.774994906252766,0.13500305624834,0.225005076457111,0.774994923542889,0.774994923542889,0.225005076457111,332
"05266",15.9257688522339,248.753890991211,0.375,0,0,0.6,0.375,0,0,0.6,0.195738199623253,0.0734018248587198,0.714988740534928,0.804261800376747,0.117442919773952,0.195738184582094,0.804261815417906,0.804261815417906,0.195738184582094,331
"05282",44.235523223877,233.416137695312,0.375,0,0,0.6,0.375,0,0,0.6,0.183669306130002,0.0688759897987506,0.725717986850429,0.816330693869998,0.110201583678001,0.183669292016255,0.816330707983745,0.816330707983745,0.183669292016255,330
"05284",86.9165802001953,345.832885742188,0.375,0,0,0.6,0.375,0,0,0.6,0.272127226456456,0.102047709921171,0.64707889568021,0.727872773543544,0.163276335873874,0.272127205545316,0.727872794454684,0.727872794454684,0.272127205545316,399
"05306",52.1254348754883,316.324279785156,0.375,0,0,0.6,0.375,0,0,0.6,0.248907644320853,0.0933403666203199,0.667721104198762,0.751092355679147,0.149344586592512,0.248907625193981,0.751092374806019,0.751092374806019,0.248907625193981,329
"05308",23.1225776672363,262.203125,0.375,0,0,0.6,0.375,0,0,0.6,0.206321064641775,0.0773703992406657,0.705580573533462,0.793678935358225,0.123792638785065,0.206321048787394,0.793678951212606,0.793678951212606,0.206321048787394,397
"05310",68.8240280151367,279.271209716797,0.375,0,0,0.6,0.375,0,0,0.6,0.2197515125442,0.0824068172040751,0.693640905348206,0.7802484874558,0.13185090752652,0.21975149565778,0.78024850434222,0.78024850434222,0.21975149565778,396
"05313",60.4501647949219,216.770172119141,0.375,0,0,0.6,0.375,0,0,0.6,0.170571013195216,0.0639641299482061,0.737362369269453,0.829428986804784,0.10234260791713,0.170571000087986,0.829428999912015,0.829428999912014,0.170571000087985,395
"05315",79.9988250732422,296.516967773438,0.375,0,0,0.6,0.375,0,0,0.6,0.233321767142808,0.087495662678553,0.681576949010044,0.766678232857192,0.139993060285685,0.233321749213605,0.766678250786395,0.766678250786395,0.233321749213605,394
"05318",23.4058628082275,249.832397460938,0.375,0,0,0.6,0.375,0,0,0.6,0.196586849322058,0.0737200684957718,0.71423429095269,0.803413150677942,0.117952109593235,0.196586834215686,0.803413165784314,0.803413165784314,0.196586834215686,393
"05321",53.6477432250977,232.227935791016,0.375,0,0,0.6,0.375,0,0,0.6,0.182734339844211,0.0685253774415792,0.726549171878496,0.817265660155789,0.109640603906527,0.182734325802311,0.817265674197689,0.817265674197689,0.182734325802311,392
"05347",14.9040260314941,266.327392578125,0.375,0,0,0.6,0.375,0,0,0.6,0.209566347388067,0.0785873802705251,0.702695517172008,0.790433652611933,0.12573980843284,0.209566331284308,0.790433668715692,0.790433668715692,0.209566331284308,391
"05353",60.2392692565918,246.891571044922,0.375,0,0,0.6,0.375,0,0,0.6,0.194272786752899,0.0728522950323372,0.716291492576673,0.805727213247101,0.116563672051739,0.194272771824347,0.805727228175653,0.805727228175653,0.194272771824347,390
"05360",11.8764009475708,253.31396484375,0.375,0,0,0.6,0.375,0,0,0.6,0.199326407399575,0.0747474027748407,0.711798823821778,0.800673592600425,0.119595844439745,0.199326392082686,0.800673607917314,0.800673607917314,0.199326392082686,389
