"MPIO_CDPMP","REGION","Card_6t9","elsnl_6t9","elsnmr_6t9","clrgst_6t9","clrgwk_6t9","FID_6t9"
"05670","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,353
"05674","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,352
"05679","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,328
"05686","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,327
"05690","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,326
"05697","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,325
"05736","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,324
"05756","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,323
"05761","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,322
"05789","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,321
"05790","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,320
"05792","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,319
"05809","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,318
"05819","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,317
"05837","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,316
"05842","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,315
"05847","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,401
"05854","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,314
"05856","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,313
"05858","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,312
"05861","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,311
"05873","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,403
"05885","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,310
"05887","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,309
"05890","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,308
"05893","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,307
"05895","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,306
"08001","Región Caribe","North",0.25,0.222,0.333,0.1,466
"08078","Región Caribe","North",0.25,0.222,0.333,0.1,467
"08137","Región Caribe","North",0.25,0.222,0.333,0.1,468
"08141","Región Caribe","North",0.25,0.222,0.333,0.1,469
"08296","Región Caribe","North",0.25,0.222,0.333,0.1,470
"08372","Región Caribe","North",0.25,0.222,0.333,0.1,471
"08421","Región Caribe","North",0.25,0.222,0.333,0.1,472
"08433","Región Caribe","North",0.25,0.222,0.333,0.1,473
"08436","Región Caribe","North",0.25,0.222,0.333,0.1,474
"08520","Región Caribe","North",0.25,0.222,0.333,0.1,475
"08549","Región Caribe","North",0.25,0.222,0.333,0.1,476
"08558","Región Caribe","North",0.25,0.222,0.333,0.1,477
"08560","Región Caribe","North",0.25,0.222,0.333,0.1,478
"08573","Región Caribe","North",0.25,0.222,0.333,0.1,479
"08606","Región Caribe","North",0.25,0.222,0.333,0.1,480
"08634","Región Caribe","North",0.25,0.222,0.333,0.1,481
"08638","Región Caribe","North",0.25,0.222,0.333,0.1,482
"08675","Región Caribe","North",0.25,0.222,0.333,0.1,483
"08685","Región Caribe","North",0.25,0.222,0.333,0.1,484
"08758","Región Caribe","North",0.25,0.222,0.333,0.1,485
"08770","Región Caribe","North",0.25,0.222,0.333,0.1,486
"08832","Región Caribe","North",0.25,0.222,0.333,0.1,487
"08849","Región Caribe","North",0.25,0.222,0.333,0.1,488
"11001","Región Centro Oriente","East",0.125,0,0.111,0.3,908
