"FID_15t16","Petro_15t16","Duque_15t16","vtotal_15t16","MOV18_15t16","elsnl_15","elsnmr_15","clrgst_15","clrgwk_15","elsnl_16","elsnmr_16","clrgst_16","clrgwk_16"
199,357,1238,1660,0.53072,0,0.222,0.333,0,NA,NA,NA,NA
200,431,257,719,-0.242,NA,NA,NA,NA,0,0,0,0.1
201,426,3186,3726,0.74074,0,0.222,0.333,0,NA,NA,NA,NA
202,395,2227,2702,0.67802,0,0.222,0.333,0,NA,NA,NA,NA
203,2447,7957,11055,0.49842,0,0.222,0.333,0,NA,NA,NA,NA
204,778,4653,5625,0.68889,0,0.222,0.333,0,NA,NA,NA,NA
205,3254,9580,13736,0.46054,0,0.222,0.333,0,NA,NA,NA,NA
206,648,3749,4506,0.68819,0,0.222,0.333,0,NA,NA,NA,NA
207,2243,12735,15508,0.67655,0,0.222,0.333,0,NA,NA,NA,NA
208,6676,8536,15809,0.11765,0,0.222,0.333,0,NA,NA,NA,NA
209,181,107,296,-0.25,NA,NA,NA,NA,0,0,0,0.1
210,482,78,563,-0.71758,NA,NA,NA,NA,0,0,0,0.1
211,182,66,249,-0.46586,NA,NA,NA,NA,0,0,0,0.1
212,11,5,17,-0.35294,NA,NA,NA,NA,0,0,0,0.1
213,72,12,84,-0.71429,NA,NA,NA,NA,0,0,0,0.1
214,40,32,73,-0.10959,NA,NA,NA,NA,0,0,0,0.1
215,84,58,145,-0.17931,NA,NA,NA,NA,0,0,0,0.1
216,1207,874,2138,-0.15575,NA,NA,NA,NA,0,0,0,0.1
217,115,48,166,-0.40361,NA,NA,NA,NA,0,0,0,0.1
218,274,146,432,-0.2963,NA,NA,NA,NA,0,0,0,0.1
219,3898,2445,6518,-0.22292,NA,NA,NA,NA,0,0,0,0.1
220,406,252,670,-0.22985,NA,NA,NA,NA,0,0,0,0.1
221,92,73,167,-0.11377,NA,NA,NA,NA,0,0,0,0.1
222,197,155,356,-0.11798,NA,NA,NA,NA,0,0,0,0.1
223,20,8,28,-0.42857,NA,NA,NA,NA,0,0,0,0.1
224,146,161,314,0.04777,NA,NA,NA,NA,NA,NA,NA,NA
225,6601,12101,20219,0.27202,0,0.222,0.333,0,NA,NA,NA,NA
226,1225,662,2024,-0.27816,NA,NA,NA,NA,0,0,0,0.1
227,1153,2752,4260,0.37535,0,0.222,0.333,0,NA,NA,NA,NA
228,860,239,1152,-0.53906,NA,NA,NA,NA,0,0,0,0.1
229,71022,104173,197022,0.16826,0,0.222,0.333,0,NA,NA,NA,NA
230,1048,8897,10513,0.7466,0,0.222,0.333,0,NA,NA,NA,NA
231,2052,8036,10987,0.54464,0,0.222,0.333,0,NA,NA,NA,NA
232,153,993,1229,0.68348,0,0.222,0.333,0,NA,NA,NA,NA
233,835,5089,6184,0.6879,0,0.222,0.333,0,NA,NA,NA,NA
234,634,2131,3023,0.4952,0,0.222,0.333,0,NA,NA,NA,NA
235,983,6888,8200,0.72012,0,0.222,0.333,0,NA,NA,NA,NA
236,431,2178,2804,0.62304,0,0.222,0.333,0,NA,NA,NA,NA
237,7189,19308,28551,0.42447,0,0.222,0.333,0,NA,NA,NA,NA
238,618,4077,4929,0.70177,0,0.222,0.333,0,NA,NA,NA,NA
239,6017,16046,24452,0.41015,0,0.222,0.333,0,NA,NA,NA,NA
240,1043,4095,5410,0.56414,0,0.222,0.333,0,NA,NA,NA,NA
241,534,5136,5973,0.77047,0,0.222,0.333,0,NA,NA,NA,NA
242,2687,12005,15742,0.59192,0,0.222,0.333,0,NA,NA,NA,NA
243,584,1949,2783,0.49048,0,0.222,0.333,0,NA,NA,NA,NA
244,1065,6069,7497,0.66747,0,0.222,0.333,0,NA,NA,NA,NA
245,8033,14229,24869,0.24915,0,0.222,0.333,0,NA,NA,NA,NA
246,668,3344,4321,0.6193,0,0.222,0.333,0,NA,NA,NA,NA
247,2220,8555,11946,0.5303,0,0.222,0.333,0,NA,NA,NA,NA
248,486,2076,2692,0.59064,0,0.222,0.333,0,NA,NA,NA,NA
249,1067,7628,9089,0.72186,0,0.222,0.333,0,NA,NA,NA,NA
250,1426,5606,7609,0.54935,0,0.222,0.333,0,NA,NA,NA,NA
251,773,4277,5338,0.65643,0,0.222,0.333,0,NA,NA,NA,NA
252,1029,7707,9157,0.72928,0,0.222,0.333,0,NA,NA,NA,NA
253,1714,4860,7048,0.44637,0,0.222,0.333,0,NA,NA,NA,NA
254,577,5859,6845,0.77166,0,0.222,0.333,0,NA,NA,NA,NA
255,6517,14635,22553,0.35995,0,0.222,0.333,0,NA,NA,NA,NA
256,46675,82006,141079,0.25043,0,0.222,0.333,0,NA,NA,NA,NA
257,325,966,1392,0.46049,0,0.222,0.333,0,NA,NA,NA,NA
258,9329,22010,33948,0.37354,0,0.222,0.333,0,NA,NA,NA,NA
259,3646,8856,13468,0.38684,0,0.222,0.333,0,NA,NA,NA,NA
260,917,1530,2653,0.23106,0,0.222,0.333,0,NA,NA,NA,NA
261,1339,4065,5836,0.4671,0,0.222,0.333,0,NA,NA,NA,NA
262,914,2730,3871,0.46913,0,0.222,0.333,0,NA,NA,NA,NA
263,4775,9039,15159,0.28129,0,0.222,0.333,0,NA,NA,NA,NA
264,3896,11912,17349,0.46204,0,0.222,0.333,0,NA,NA,NA,NA
265,709,2324,3214,0.50249,0,0.222,0.333,0,NA,NA,NA,NA
266,4625,9711,15491,0.32832,0,0.222,0.333,0,NA,NA,NA,NA
267,760,2367,3353,0.47927,0,0.222,0.333,0,NA,NA,NA,NA
268,74799,129120,222092,0.24459,0,0.222,0.333,0,NA,NA,NA,NA
269,985,4426,5774,0.59595,0,0.222,0.333,0,NA,NA,NA,NA
270,583,2008,2802,0.50857,0,0.222,0.333,0,NA,NA,NA,NA
271,1891,8873,11426,0.61106,0,0.222,0.333,0,NA,NA,NA,NA
272,30682,52115,90413,0.23706,0,0.222,0.333,0,NA,NA,NA,NA
273,924,4780,6017,0.64085,0,0.222,0.333,0,NA,NA,NA,NA
274,642,2693,3550,0.57775,0,0.222,0.333,0,NA,NA,NA,NA
275,4436,10075,15861,0.35553,0,0.222,0.333,0,NA,NA,NA,NA
276,1810,5853,8215,0.49215,0,0.222,0.333,0,NA,NA,NA,NA
277,2631,3124,6073,0.08118,NA,NA,NA,NA,NA,NA,NA,NA
278,2552,2068,4776,-0.10134,NA,NA,NA,NA,0,0,0,0.1
279,3784,6224,10984,0.22214,0,0.222,0.333,0,NA,NA,NA,NA
280,10127,22814,35889,0.35351,0,0.222,0.333,0,NA,NA,NA,NA
281,809,4791,6004,0.66322,0,0.222,0.333,0,NA,NA,NA,NA
282,207642,698505,979252,0.50126,0,0.222,0.333,0,NA,NA,NA,NA
283,1161,10044,11663,0.76164,0,0.222,0.333,0,NA,NA,NA,NA
284,603,1360,2213,0.34207,0,0.222,0.333,0,NA,NA,NA,NA
285,518,2211,2930,0.57782,0,0.222,0.333,0,NA,NA,NA,NA
286,2462,2853,5553,0.07041,NA,NA,NA,NA,NA,NA,NA,NA
287,295,5984,6484,0.87739,0,0.222,0.333,0,NA,NA,NA,NA
288,287,3161,3550,0.80958,0,0.222,0.333,0,NA,NA,NA,NA
289,41733,123720,179912,0.45571,0,0.222,0.333,0,NA,NA,NA,NA
290,222,1904,2269,0.7413,0,0.222,0.333,0,NA,NA,NA,NA
291,4371,14540,20721,0.49076,0,0.222,0.333,0,NA,NA,NA,NA
292,215,1739,2068,0.73694,0,0.222,0.333,0,NA,NA,NA,NA
293,134,3124,3334,0.89682,0,0.222,0.333,0,NA,NA,NA,NA
294,4117,6755,11172,0.23613,0,0.222,0.333,0,NA,NA,NA,NA
295,201,2609,2918,0.82522,0,0.222,0.333,0,NA,NA,NA,NA
296,1770,7737,10277,0.58062,0,0.222,0.333,0,NA,NA,NA,NA
297,826,2217,3325,0.41835,0,0.222,0.333,0,NA,NA,NA,NA
298,276,2810,3340,0.75868,0,0.222,0.333,0,NA,NA,NA,NA
299,268,2384,2777,0.76197,0,0.222,0.333,0,NA,NA,NA,NA
300,2020,14161,16896,0.71857,0,0.222,0.333,0,NA,NA,NA,NA
301,760,5162,6394,0.68846,0,0.222,0.333,0,NA,NA,NA,NA
302,1706,8192,10755,0.60307,0,0.222,0.333,0,NA,NA,NA,NA
303,216,2018,2343,0.7691,0,0.222,0.333,0,NA,NA,NA,NA
304,43,975,1056,0.88258,0,0.222,0.333,0,NA,NA,NA,NA
305,547,6572,7397,0.81452,0,0.222,0.333,0,NA,NA,NA,NA
306,1934,3407,5682,0.25924,0,0.222,0.333,0,NA,NA,NA,NA
