MPIO_CDPMP,elsnlfc,elsnmrfc,clrgstch,clrgwkch
17662,0.25,0.222,0.333,0.1
17653,0.25,0.222,0.333,0.1
17616,0.25,0.222,0.333,0.1
17541,0.25,0.222,0.333,0.1
17524,0.25,0.222,0.333,0.1
17513,0.25,0.222,0.333,0.1
17614,0.25,0.222,0.333,0.1
63001,0.25,0.222,0.333,0.1
63111,0.25,0.222,0.333,0.1
63130,0.25,0.222,0.333,0.1
63190,0.25,0.222,0.333,0.1
63212,0.25,0.222,0.333,0.1
63272,0.25,0.222,0.333,0.1
63302,0.25,0.222,0.333,0.1
63401,0.25,0.222,0.333,0.1
63470,0.25,0.222,0.333,0.1
63548,0.25,0.222,0.333,0.1
63594,0.25,0.222,0.333,0.1
63690,0.25,0.222,0.333,0.1
66001,0.25,0.222,0.333,0.1
66045,0.25,0.222,0.333,0.1
66075,0.25,0.222,0.333,0.1
66088,0.25,0.222,0.333,0.1
66170,0.25,0.222,0.333,0.1
66318,0.25,0.222,0.333,0.1
66383,0.25,0.222,0.333,0.1
66400,0.25,0.222,0.333,0.1
66440,0.25,0.222,0.333,0.1
66456,0.25,0.222,0.333,0.1
66572,0.25,0.222,0.333,0.1
66594,0.25,0.222,0.333,0.1
66682,0.25,0.222,0.333,0.1
66687,0.25,0.222,0.333,0.1
05001,0.25,0.222,0.333,0.1
05101,0.25,0.222,0.333,0.1
05107,0.25,0.222,0.333,0.1
05113,0.25,0.222,0.333,0.1
05120,0.25,0.222,0.333,0.1
05093,0.25,0.222,0.333,0.1
05091,0.25,0.222,0.333,0.1
05088,0.25,0.222,0.333,0.1
05086,0.25,0.222,0.333,0.1
05079,0.25,0.222,0.333,0.1
05059,0.25,0.222,0.333,0.1
05055,0.25,0.222,0.333,0.1
05051,0.25,0.222,0.333,0.1
05044,0.25,0.222,0.333,0.1
05042,0.25,0.222,0.333,0.1
05040,0.25,0.222,0.333,0.1
05038,0.25,0.222,0.333,0.1
05036,0.25,0.222,0.333,0.1
05034,0.25,0.222,0.333,0.1
05031,0.25,0.222,0.333,0.1
05030,0.25,0.222,0.333,0.1
05021,0.25,0.222,0.333,0.1
05004,0.25,0.222,0.333,0.1
05002,0.25,0.222,0.333,0.1
05895,0.25,0.222,0.333,0.1
05893,0.25,0.222,0.333,0.1
05890,0.25,0.222,0.333,0.1
05887,0.25,0.222,0.333,0.1
05885,0.25,0.222,0.333,0.1
05861,0.25,0.222,0.333,0.1
05858,0.25,0.222,0.333,0.1
05856,0.25,0.222,0.333,0.1
05854,0.25,0.222,0.333,0.1
05842,0.25,0.222,0.333,0.1
05837,0.25,0.222,0.333,0.1
05819,0.25,0.222,0.333,0.1
05809,0.25,0.222,0.333,0.1
05792,0.25,0.222,0.333,0.1
05790,0.25,0.222,0.333,0.1
05789,0.25,0.222,0.333,0.1
05761,0.25,0.222,0.333,0.1
05756,0.25,0.222,0.333,0.1
05736,0.25,0.222,0.333,0.1
05697,0.25,0.222,0.333,0.1
05690,0.25,0.222,0.333,0.1
05686,0.25,0.222,0.333,0.1
05679,0.25,0.222,0.333,0.1
05306,0.25,0.222,0.333,0.1
05282,0.25,0.222,0.333,0.1
05266,0.25,0.222,0.333,0.1
05264,0.25,0.222,0.333,0.1
05250,0.25,0.222,0.333,0.1
05240,0.25,0.222,0.333,0.1
05237,0.25,0.222,0.333,0.1
05212,0.25,0.222,0.333,0.1
05209,0.25,0.222,0.333,0.1
05206,0.25,0.222,0.333,0.1
05197,0.25,0.222,0.333,0.1
05190,0.25,0.222,0.333,0.1
05172,0.25,0.222,0.333,0.1
05154,0.25,0.222,0.333,0.1
05150,0.25,0.222,0.333,0.1
05148,0.25,0.222,0.333,0.1
05147,0.25,0.222,0.333,0.1
05145,0.25,0.222,0.333,0.1
05142,0.25,0.222,0.333,0.1
05138,0.25,0.222,0.333,0.1
05134,0.25,0.222,0.333,0.1
05129,0.25,0.222,0.333,0.1
05125,0.25,0.222,0.333,0.1
05674,0.25,0.222,0.333,0.1
05670,0.25,0.222,0.333,0.1
05667,0.25,0.222,0.333,0.1
05665,0.25,0.222,0.333,0.1
05664,0.25,0.222,0.333,0.1
05660,0.25,0.222,0.333,0.1
05659,0.25,0.222,0.333,0.1
05658,0.25,0.222,0.333,0.1
05656,0.25,0.222,0.333,0.1
05652,0.25,0.222,0.333,0.1
05649,0.25,0.222,0.333,0.1
05647,0.25,0.222,0.333,0.1
05642,0.25,0.222,0.333,0.1
05628,0.25,0.222,0.333,0.1
05615,0.25,0.222,0.333,0.1
05607,0.25,0.222,0.333,0.1
05604,0.25,0.222,0.333,0.1
