"MPIO_CDPMP","depto","provincia","indrur0t1","elsnl_0t1","elsnmr_0t1","clrgst_0t1","clrgwk_0t1","FID_0t1"
"05809","Antioquia","Suroeste",0.573921084403992,0.875,0,0,1,318
"05819","Antioquia","Norte",0.65952330827713,0.875,0,0,1,317
"05837","Antioquia","Urabá",0.608300149440765,0.875,0,0,1,316
"05842","Antioquia","Occidente",0.693524956703186,0.875,0,0,1,315
"05847","Antioquia","Suroeste",0.471636742353439,0.125,1,0.889,0,401
"05854","Antioquia","Norte",0.736468374729156,0.875,0,0,1,314
"05856","Antioquia","Suroeste",0.439981520175934,0.125,1,0.889,0,313
"05858","Antioquia","Nordeste",0.317950874567032,0.125,1,0.889,0,312
"05861","Antioquia","Suroeste",0.561368703842163,0.875,0,0,1,311
"05873","Antioquia","Urabá",0.658858478069305,0.875,0,0,1,403
"05885","Antioquia","Nordeste",0.528522610664368,0.875,0,0,1,310
"05887","Antioquia","Norte",0.300731778144836,0.125,1,0.889,0,309
"05890","Antioquia","Nordeste",0.69970715045929,0.875,0,0,1,308
"05893","Antioquia","Magdalena medio",0.493697464466095,0.125,1,0.889,0,307
"05895","Antioquia","Bajo cauca",0.546752691268921,0.875,0,0,1,306
"08001","Atlántico","Norte",0.000857982027810067,0.125,1,0.889,0,466
"08078","Atlántico","Centro oriente",0.170754387974739,0.125,1,0.889,0,467
"08137","Atlántico","Sur",0.127540543675423,0.125,1,0.889,0,468
"08141","Atlántico","Sur",0.282880753278732,0.125,1,0.889,0,469
"08296","Atlántico","Norte",0.0748006850481033,0.125,1,0.889,0,470
"08372","Atlántico","Occidental",0.376398861408234,0.125,1,0.889,0,471
"08421","Atlántico","Sur",0.494196981191635,0.125,1,0.889,0,472
"08433","Atlántico","Norte",0.0649360790848732,0.125,1,0.889,0,473
"08436","Atlántico","Sur",0.116569064557552,0.125,1,0.889,0,474
"08520","Atlántico","Centro oriente",0.0416148193180561,0.125,1,0.889,0,475
"08549","Atlántico","Occidental",0.574455201625824,0.875,0,0,1,476
"08558","Atlántico","Centro oriente",0.169588387012482,0.125,1,0.889,0,477
"08560","Atlántico","Centro oriente",0.427541106939316,0.125,1,0.889,0,478
"08573","Atlántico","Norte",0.131150528788567,0.125,1,0.889,0,479
"08606","Atlántico","Sur",0.327938944101334,0.125,1,0.889,0,480
"08634","Atlántico","Centro oriente",0.0493288785219193,0.125,1,0.889,0,481
"08638","Atlántico","Centro oriente",0.257674694061279,0.125,1,0.889,0,482
"08675","Atlántico","Sur",0.146476939320564,0.125,1,0.889,0,483
"08685","Atlántico","Centro oriente",0.0581313483417034,0.125,1,0.889,0,484
"08758","Atlántico","Norte",0.0022433812264353,0.125,1,0.889,0,485
"08770","Atlántico","Sur",0.0587102174758911,0.125,1,0.889,0,486
"08832","Atlántico","Occidental",0.495079696178436,0.125,1,0.889,0,487
"08849","Atlántico","Occidental",0.0698775500059128,0.125,1,0.889,0,488
"11001","Bogotá, D.C.","Bogotá",0.0033950456418097,0.125,1,0.889,0,908
"13001","Bolívar","Dique bolivarense",0.0988237932324409,0.125,1,0.889,0,489
"13006","Bolívar","Mojana",0.768068313598633,0.875,0,0,1,490
"13030","Bolívar","Loba",0.635344505310059,0.875,0,0,1,491
"13042","Bolívar","Magdalena medio bolivarense",0.389545142650604,0.125,1,0.889,0,492
