"MPIO_CDPMP","depto","provincia","indrur0t1","el_0t1x","em_0t1x","cs_0t1x","cw_0t1x","elsnl_0t1","elsnmr_0t1","clrgst_0t1","clrgwk_0t1","FID_0t1"
"54206","Norte de Santander","Occidente",0.598277628421783,0.573708221316338,0.401722371578217,0.357131188333035,0.598277628421783,0.875,0,0,1,902
"54223","Norte de Santander","Centro",0.814453363418579,0.735840022563934,0.185546636581421,0.164950959920883,0.814453363418579,0.875,0,0,1,876
"54239","Norte de Santander","Sur oriente",0.512001752853394,0.509001314640045,0.487998247146606,0.433830441713333,0.512001752853394,0.875,0,0,1,877
"54245","Norte de Santander","Occidente",0.832927584648132,0.749695688486099,0.167072415351868,0.14852737724781,0.832927584648132,0.875,0,0,1,903
"54250","Norte de Santander","Norte",0.58338725566864,0.56254044175148,0.41661274433136,0.370368729710579,0.58338725566864,0.875,0,0,1,907
"54261","Norte de Santander","Oriental",0.389250934123993,0.416938200592995,0.610749065876007,0.54295591956377,0.389250934123993,0.125,1,0.889,0,878
"54313","Norte de Santander","Centro",0.659766972064972,0.619825229048729,0.340233027935028,0.30246716183424,0.659766972064972,0.875,0,0,1,879
"54344","Norte de Santander","Occidente",0.866073191165924,0.774554893374443,0.133926808834076,0.119060933053493,0.866073191165924,0.875,0,0,1,880
"54347","Norte de Santander","Sur oriente",0.821761667728424,0.741321250796318,0.178238332271576,0.158453877389431,0.821761667728424,0.875,0,0,1,881
"54377","Norte de Santander","Sur oriente",0.741703867912292,0.681277900934219,0.258296132087708,0.229625261425972,0.741703867912292,0.875,0,0,1,882
"54385","Norte de Santander","Occidente",0.853847503662109,0.765385627746582,0.146152496337891,0.129929569244385,0.853847503662109,0.875,0,0,1,883
"54398","Norte de Santander","Occidente",0.88776046037674,0.790820345282555,0.11223953962326,0.0997809507250786,0.88776046037674,0.875,0,0,1,884
"54405","Norte de Santander","Oriental",0.031709149479866,0.1487818621099,0.968290850520134,0.860810566112399,0.031709149479866,0.125,1,0.889,0,885
"54418","Norte de Santander","Centro",0.536924660205841,0.527693495154381,0.463075339794159,0.411673977077007,0.536924660205841,0.875,0,0,1,886
"54480","Norte de Santander","Sur occidente",0.808791756629944,0.731593817472458,0.191208243370056,0.16998412835598,0.808791756629944,0.875,0,0,1,887
"54498","Norte de Santander","Occidente",0.102424055337906,0.201818041503429,0.897575944662094,0.797945014804602,0.102424055337906,0.125,1,0.889,0,888
"54518","Norte de Santander","Sur occidente",0.0801998972892761,0.185149922966957,0.919800102710724,0.817702291309834,0.0801998972892761,0.125,1,0.889,0,889
"54520","Norte de Santander","Sur occidente",0.798037767410278,0.723528325557709,0.201962232589722,0.179544424772263,0.798037767410278,0.875,0,0,1,890
"54553","Norte de Santander","Oriental",0.0663373321294785,0.174752999097109,0.933662667870522,0.830026111736894,0.0663373321294785,0.125,1,0.889,0,891
"54599","Norte de Santander","Sur oriente",0.51279878616333,0.509599089622498,0.48720121383667,0.4331218791008,0.51279878616333,0.875,0,0,1,892
"54660","Norte de Santander","Centro",0.623223900794983,0.592417925596237,0.376776099205017,0.33495395219326,0.623223900794983,0.875,0,0,1,893
"54670","Norte de Santander","Occidente",0.832819938659668,0.749614953994751,0.167180061340332,0.148623074531555,0.832819938659668,0.875,0,0,1,894
"54673","Norte de Santander","Oriental",0.672112345695496,0.629084259271622,0.327887654304504,0.291492124676704,0.672112345695496,0.875,0,0,1,895
"54680","Norte de Santander","Centro",0.479619175195694,0.48471438139677,0.520380824804306,0.462618553251028,0.479619175195694,0.125,1,0.889,0,896
"54720","Norte de Santander","Norte",0.626203179359436,0.594652384519577,0.373796820640564,0.332305373549461,0.626203179359436,0.875,0,0,1,897
"54743","Norte de Santander","Sur occidente",0.858649790287018,0.768987342715263,0.141350209712982,0.125660336434841,0.858649790287018,0.875,0,0,1,898
"54800","Norte de Santander","Occidente",0.844500720500946,0.75837554037571,0.155499279499054,0.138238859474659,0.844500720500946,0.875,0,0,1,904
"54810","Norte de Santander","Norte",0.633728981018066,0.60029673576355,0.366271018981934,0.325614935874939,0.633728981018066,0.875,0,0,1,905
"54820","Norte de Santander","Sur oriente",0.65848445892334,0.618863344192505,0.34151554107666,0.303607316017151,0.65848445892334,0.875,0,0,1,906
"54871","Norte de Santander","Centro",0.563851058483124,0.547888293862343,0.436148941516876,0.387736409008503,0.563851058483124,0.875,0,0,1,899
"54874","Norte de Santander","Oriental",0.0325153023004532,0.14938647672534,0.967484697699547,0.860093896254897,0.0325153023004532,0.125,1,0.889,0,900
"63001","Quindio","Capital",0.0269742012023926,0.145230650901794,0.973025798797607,0.865019935131073,0.0269742012023926,0.125,1,0.889,0,256
"63111","Quindio","Capital",0.608400642871857,0.581300482153893,0.391599357128143,0.348131828486919,0.608400642871857,0.875,0,0,1,257
"63130","Quindio","Capital",0.223651126027107,0.29273834452033,0.776348873972893,0.690174148961902,0.223651126027107,0.125,1,0.889,0,258
"63190","Quindio","Norte",0.253426611423492,0.315069958567619,0.746573388576508,0.663703742444515,0.253426611423492,0.125,1,0.889,0,259
"63212","Quindio","Cordilleranos",0.40393477678299,0.427951082587242,0.59606522321701,0.529901983439922,0.40393477678299,0.125,1,0.889,0,260
"63272","Quindio","Fria",0.449693351984024,0.462270013988018,0.550306648015976,0.489222610086203,0.449693351984024,0.125,1,0.889,0,261
